loc_code,antenna,latitude,longitude,subloc
11,11,48.4860050,-123.5485730,ds
12,12,48.4863520,-123.5481140,us
13,hpr,48.4616376,-123.5555278,us
201,01,48.7727580,-123.7130410,us
201,02,48.7727580,-123.7130410,us
201,03,48.7727580,-123.7130410,us
201,04,48.7727580,-123.7130410,us
201,05,48.7727580,-123.7130410,us
202,07,48.7719730,-123.7123940,ds
202,08,48.7719730,-123.7123940,ds
202,09,48.7719730,-123.7123940,ds
202,0A,48.7719730,-123.7123940,ds
202,0B,48.7719730,-123.7123940,ds
202,0C,48.7719730,-123.7123940,ds
21,01,48.7686550,-123.6549340,ds
21,1A,48.7686550,-123.6549340,ds
21,21,48.7686550,-123.6549340,ds
22,01,48.7713600,-123.6537830,ds
22,21,48.7713600,-123.6537830,ds
22,22,48.7713600,-123.6537830,ds
231,01,48.7835770,-123.9546100,us
232,02,48.7835770,-123.9546100,mid
233,03,48.7835770,-123.9546100,ds
301,01,49.1140790,-123.8781180,us
301,02,49.1140790,-123.8781180,us
301,03,49.1140790,-123.8781180,us
301,04,49.1140790,-123.8781180,us
301,05,49.1140790,-123.8781180,us
301,06,49.1140790,-123.8781180,us
302,07,49.1139530,-123.8780670,ds
302,08,49.1139530,-123.8780670,ds
302,09,49.1139530,-123.8780670,ds
302,0A,49.1139530,-123.8780670,ds
302,0B,49.1139530,-123.8780670,ds
302,0C,49.1139530,-123.8780670,ds
3A,3A,49.0743730,-123.8726880,ds
3B,02,49.0736750,-123.8726370,us
3B,3B,49.0736750,-123.8726370,us
3M,3m,49.0733700,-123.8736100,
401,01,49.3217970,-124.2873280,ds
401,02,49.3217970,-124.2873280,ds
401,03,49.3217970,-124.2873280,ds
401,04,49.3217970,-124.2873280,ds
401,05,49.3217970,-124.2873280,ds
402,06,49.3218760,-124.2868520,us
402,07,49.3218760,-124.2868520,us
402,08,49.3218760,-124.2868520,us
402,09,49.3218760,-124.2868520,us
402,0A,49.3218760,-124.2868520,us
41,41,49.3146422,-124.2875222,
41,42,49.3146422,-124.2875222,
42,42,49.2954237,-124.2717628,
42,42,49.3146422,-124.2875222,
44,41,49.2759936,-124.2970577,
44,44,49.2759936,-124.2970577,
44,45,49.2759936,-124.2970577,
45,45,49.2759936,-124.2970577,
45,46,49.2759936,-124.2970577,
501,01,49.3630067,-124.4884723,ds
501,02,49.3630067,-124.4884723,ds
51,51,49.3504800,-124.4956750,
5A,5A,49.3503150,-124.4954520,ds
5B,5B,49.3503150,-124.4954520,us
60,60,49.3939500,-124.6179900,
61,01,49.3937830,-124.6185300,
61,60,49.3937830,-124.6185300,
61,61,49.3937830,-124.6185300,
62,62,49.3932320,-124.6185300,
6A,01,49.3937000,-124.6181530,ds
6A,6A,49.3937000,-124.6181530,ds
6B,02,49.3936500,-124.6182000,us
6B,6B,49.3936500,-124.6182000,us
6C,6C,49.3935620,-124.6185300,ds
6D,6D,49.3935620,-124.6185300,us
6F,6C,49.3931250,-124.6181500,ds
701,03,49.6988510,-125.0001290,ds
701,04,49.6988510,-125.0001290,ds
701,05,49.6988510,-125.0001290,ds
701,06,49.6988510,-125.0001290,ds
702,01,49.6988510,-125.0001290,us
702,02,49.6988510,-125.0001290,us
71,03,49.6853290,-125.0325690,us
71,71,49.6853290,-125.0325690,us
7A,02,49.6853290,-125.0325690,ds
7A,1A,49.6853290,-125.0325690,ds
7A,7A,49.6853290,-125.0325690,ds
7B,01,49.6853290,-125.0325690,us
7B,7B,49.6853290,-125.0325690,us
7C,7C,49.6853290,-125.0325690,ds
7D,7D,49.6853290,-125.0325690,us
81,01,49.8503430,-125.1004260,ds
81,81,49.8503430,-125.1004260,ds
82,02,49.8503430,-125.1004260,us
82,82,49.8503430,-125.1004260,us
83,02,49.8503430,-125.1004260,ds
83,83,49.8503430,-125.1004260,ds
84,01,49.8501510,-125.1010330,us
84,02,49.8501510,-125.1010330,us
84,84,49.8501510,-125.1010330,us
91,91,50.0373860,-125.2934080,
921,03,50.0185000,-125.3018080,ds
921,04,50.0185000,-125.3018080,ds
922,01,50.0185000,-125.3018080,us
922,02,50.0185000,-125.3018080,us
9A,01,50.0153100,-125.3040000,ds
9A,9A,50.0153100,-125.3040000,ds
9B,02,50.0153100,-125.3040000,us
9B,9B,50.0153100,-125.3040000,us
9C,9A,50.0153100,-125.3020500,ds
9C,9B,50.0153100,-125.3020500,ds
9C,9C,50.0153100,-125.3020500,ds
9D,9A,50.0185550,-125.3020500,us
9D,9B,50.0185550,-125.3020500,us
9D,9D,50.0185550,-125.3020500,us
9F,9D,50.0151500,-125.3035480,
A1,A1,49.3323290,-124.9179730,ds
A2,A2,49.3323290,-124.9179730,us
